value1,label1,value2,label2,value3,label3,value4,label4,value5,label5
1986,0,704,0,691,0,644,0,519,0
962,0,976,0,1022,0,1136,0,1036,0
1081,0,1270,0,1308,0,1097,0,987,0
2185,0,1975,0,2147,0,1853,0,2034,0
1210,0,1388,0,1459,0,1281,0,1142,0
1084,0,1094,0,1140,0,1370,0,1218,0
2087,0,2181,0,2252,0,2050,0,2819,0
1020,0,1044,0,1109,0,1241,0,1141,0
1059,0,1257,0,1280,0,1102,0,985,0
1123,0,1129,0,1175,0,1391,0,1273,0
1106,0,1439,0,1499,0,1346,0,1027,0
3500,0,3520,0,3604,0,3495,0,3637,0
1207,0,1260,0,1285,0,1143,0,1309,0
1148,0,1101,0,1148,0,1324,0,1200,0
4096,0,3860,0,5555,0,3834,0,3946,0
931,0,953,0,996,0,1128,0,1030,0
1058,0,1222,0,5431,0,1127,0,996,0
1130,0,1138,0,1184,0,1347,0,1253,0
996,0,1114,0,1151,0,1027,0,917,0
1043,0,1054,0,1100,0,1303,0,1124,0
5606,0,5671,0,5704,0,5576,0,5730,0
3049,0,3138,0,3257,0,3071,0,3331,0
1293,0,1230,0,1260,0,1132,0,1024,0
1265,0,1414,0,1446,0,1323,0,1198,0
1083,0,1184,0,1209,0,1098,0,980,0
7013,0,6814,0,6956,0,6693,0,6974,0
971,0,1069,0,1100,0,988,0,886,0
1221,0,1323,0,1361,0,1232,0,1132,0
1082,0,1586,0,1613,0,1500,0,1004,0
1196,0,1289,0,1302,0,1184,0,1079,0
971,0,1310,0,1346,0,1225,0,1122,0
6716,0,6454,0,6556,0,6309,0,6580,0
1110,0,1171,0,1193,0,1086,0,977,0
1127,0,1242,0,1270,0,1158,0,1044,0
1033,0,1255,0,1259,0,1145,0,924,0
2282,0,2273,0,2372,0,2274,0,2244,0
1448,0,1195,0,1381,0,971,0,1395,0
1169,0,1314,0,1342,0,1180,0,1089,0
982,0,1063,0,1086,0,978,0,876,0
1167,0,1198,0,1222,0,1105,0,1233,0
986,0,1163,0,1184,0,1066,0,892,0
1995,0,1984,0,2428,0,2982,0,3348,0
1050,0,1491,0,1496,0,1381,0,1261,0
1187,0,1628,0,879,0,1524,0,1057,0
2286,0,2009,0,5429,0,1974,0,5672,0
1098,0,1200,0,1234,0,1113,0,1008,0
1152,0,1191,0,1211,0,1087,0,1247,0
2647,0,3245,0,3780,0,2686,0,3523,0
3582,0,3393,0,3492,0,3256,0,3509,0
1658,0,1634,0,1672,0,2459,0,1680,0
1338,0,1363,0,1375,0,775,0,1192,0
1890,0,1903,0,1957,0,1874,0,1957,0
1112,0,1074,0,1094,0,1390,0,1139,0
4970,0,5014,0,5061,0,4929,0,4988,0
909,0,939,0,641,0,501,0,813,0
982,0,1008,0,731,0,941,0,868,0
970,0,1061,0,1086,0,977,0,884,0
1209,0,1284,0,902,0,1189,0,1103,0
975,0,1088,0,1100,0,986,0,891,0
1167,0,1259,0,1301,0,1129,0,1034,0
1102,0,1188,0,1197,0,1083,0,984,0
1807,0,1935,0,1959,0,1828,0,1724,0
3968,0,3966,0,3985,0,3869,0,3996,0
1132,0,1139,0,1158,0,1045,0,1166,0
1022,0,1112,0,1129,0,1017,0,910,0
1142,0,1301,0,1371,0,1198,0,1093,0
1049,0,1143,0,1046,0,632,0,932,0
1139,0,1296,0,1352,0,1133,0,1044,0
973,0,1070,0,1088,0,983,0,892,0
1135,0,1225,0,1251,0,1126,0,1033,0
993,0,1174,0,1190,0,1087,0,915,0
1767,0,1880,0,1932,0,1782,0,1682,0
982,0,1070,0,1094,0,983,0,888,0
1130,0,1237,0,1266,0,1132,0,1043,0
936,0,1021,0,1040,0,940,0,849,0
3893,0,3954,0,3981,0,3849,0,3982,0
1425,0,1499,0,805,0,1414,0,1310,0
954,0,953,0,1002,0,1205,0,1115,0
1007,0,1137,0,1175,0,1026,0,894,0
1103,0,1256,0,1313,0,1136,0,1007,0
1152,0,1188,0,1218,0,686,0,1049,0
1013,0,995,0,1075,0,993,0,1205,0
1092,0,1510,0,1521,0,1421,0,1308,0
1160,0,1255,0,1275,0,1128,0,1020,0
1207,0,1278,0,864,0,1166,0,1049,0
1181,0,1264,0,1271,0,1143,0,1052,0
1859,0,1913,0,1537,0,1820,0,1721,0
1043,0,1129,0,1130,0,1015,0,918,0
1191,0,1374,0,1390,0,1266,0,1100,0
1187,0,1291,0,1300,0,1176,0,1058,0
1082,0,1153,0,1173,0,1070,0,977,0
1348,0,1443,0,1459,0,1339,0,1242,0
1178,0,1220,0,1231,0,745,0,1042,0
3832,0,3569,0,3594,0,3443,0,3598,0
1157,0,1370,0,824,0,1247,0,1125,0
1107,0,1288,0,1305,0,1189,0,986,0
2676,0,2080,0,2130,0,2041,0,2125,0
1166,0,1274,0,1303,0,1180,0,1066,0
1151,0,1209,0,832,0,1107,0,1016,0
1278,0,1342,0,1330,0,1192,0,1076,0
1244,0,1350,0,865,0,1284,0,1156,0
1357,0,1409,0,1408,0,1274,0,1408,0
1260,0,1343,0,814,0,1252,0,1135,0
1898,0,1907,0,2001,0,1853,0,1884,0
1205,0,1307,0,1350,0,1197,0,1082,0
1069,0,1058,0,1100,0,1291,0,1176,0
1646,0,1742,0,1763,0,1586,0,1754,0
7838,0,7845,0,7927,0,7830,0,7921,0
1132,0,1187,0,832,0,1088,0,992,0
1245,0,1353,0,1386,0,1240,0,1114,0
1159,0,1223,0,842,0,1117,0,1018,0
1427,0,1451,0,1458,0,1321,0,1471,0
1159,0,1667,0,856,0,1576,0,1455,0
1182,0,1284,0,1270,0,1160,0,1053,0
1125,0,1254,0,1275,0,1147,0,1044,0
1039,0,1036,0,1107,0,1262,0,1194,0
1676,0,1744,0,1394,0,1650,0,1554,0
973,0,966,0,986,0,1608,0,1081,0
1090,0,1444,0,1470,0,1309,0,1207,0
1111,0,1115,0,1422,0,1298,0,1436,0
1100,0,1094,0,768,0,1007,0,939,0
1402,0,1506,0,1396,0,868,0,1266,0
1105,0,1132,0,1159,0,662,0,994,0
1080,0,1088,0,1125,0,1330,0,1216,0
1135,0,1344,0,854,0,1198,0,1107,0
1150,0,1150,0,1551,0,1306,0,1441,0
1700,0,1804,0,1811,0,1668,0,1558,0
1519,0,1327,0,1424,0,1152,0,1412,0
1067,0,1175,0,1196,0,1085,0,993,0
1012,0,1016,0,1057,0,1304,0,1149,0
1125,0,1225,0,841,0,1136,0,1046,0
1283,0,1416,0,1454,0,1328,0,1214,0
1120,0,1439,0,1481,0,1349,0,1222,0
1029,0,1029,0,1078,0,1349,0,1193,0
1912,0,1959,0,1685,0,1876,0,1809,0
1089,0,1152,0,1184,0,1056,0,1203,0
2725,0,2341,0,1892,0,2101,0,2000,0
962,0,959,0,1036,0,1194,0,1124,0
562765,1,563466,1,76082,0,75905,0,562775,1
35646,1,35677,1,15470,1,20647,1,57578,1
331191,1,332899,1,10532,1,9403,1,492560,1
1716,0,1822,0,1713,0,1241,0,1565,0
1083,0,1189,0,1214,0,1074,0,948,0
991,0,1065,0,1084,0,968,0,885,0
1330,0,1164,0,664,0,1053,0,1197,0
929,0,935,0,1038,0,937,0,1049,0
1686,0,1732,0,1372,0,1639,0,1548,0
1084,0,1091,0,1139,0,1272,0,1159,0
1238,0,1227,0,1273,0,1419,0,1287,0
1216,0,1326,0,1365,0,1218,0,1093,0
1339,0,1329,0,876,0,1212,0,1098,0
1831,0,1834,0,1864,0,2024,0,1889,0
1163,0,1191,0,1204,0,1068,0,981,0
1543,0,1488,0,1508,0,1561,0,1623,0
1156,0,1210,0,828,0,1115,0,1027,0
1659,0,1667,0,1717,0,1616,0,1713,0
1643,0,1738,0,1767,0,1657,0,1566,0
1702,0,1691,0,1792,0,1646,0,1680,0
1158,0,1238,0,841,0,1136,0,1040,0
1190,0,1186,0,1260,0,1169,0,1271,0
1216,0,1305,0,817,0,1211,0,1098,0
1581,0,1670,0,1718,0,1571,0,1479,0
1174,0,1408,0,838,0,1286,0,1056,0
2373,0,2214,0,1922,0,2154,0,2087,0
1151,0,1254,0,853,0,1153,0,1049,0
1076,0,2372,0,1323,0,592,0,976,0
4261,0,4777,0,3275,0,2963,0,3710,0
1208,0,1283,0,877,0,1181,0,1089,0
1175,0,1247,0,795,0,1123,0,1031,0
1300,0,963,0,1010,0,1126,0,741,0
5850,0,5645,0,5762,0,5512,0,5779,0
1445,0,1616,0,1666,0,1526,0,1385,0
1161,0,1298,0,1180,0,692,0,1037,0
1409,0,1589,0,1623,0,1499,0,1369,0
1091,0,1192,0,1232,0,1100,0,1001,0
1106,0,1162,0,1187,0,627,0,992,0
7305,0,7347,0,7439,0,6874,0,7173,0
1215,0,1320,0,1216,0,762,0,1093,0
1167,0,1241,0,861,0,1143,0,1051,0
1248,0,1310,0,1570,0,1212,0,1122,0
1215,0,1245,0,880,0,758,0,1100,0
7659,0,7702,0,7752,0,7605,0,7768,0
1247,0,1304,0,910,0,1219,0,1106,0
1041,0,1367,0,1060,0,1270,0,1149,0
1063,0,1107,0,1133,0,1021,0,1142,0
1090,0,1087,0,1492,0,1209,0,1390,0
1327,0,1466,0,1488,0,1378,0,1264,0
7940,0,7966,0,8049,0,7943,0,8057,0
1121,0,1165,0,791,0,1082,0,1005,0
1063,0,1085,0,1109,0,996,0,1174,0
1189,0,1185,0,1247,0,1354,0,1256,0
1619,0,1300,0,1336,0,837,0,1118,0
1153,0,1254,0,835,0,1126,0,3594,0
1147,0,1179,0,811,0,1085,0,998,0
1126,0,1200,0,1225,0,1112,0,1004,0
1193,0,1206,0,1218,0,1107,0,1233,0
1372,0,1465,0,1482,0,1369,0,1271,0
1222,0,1362,0,1374,0,1230,0,1071,0
1100,0,1125,0,761,0,1041,0,975,0
1302,0,1303,0,7675,0,7037,0,7116,0
2322,0,2285,0,2333,0,3100,0,2384,0
3472,0,3557,0,3209,0,3478,0,3371,0
1270,0,1401,0,897,0,1234,0,1097,0
1142,0,1289,0,1324,0,1157,0,1028,0
1123,0,1211,0,825,0,1124,0,1029,0
1339,0,1515,0,1547,0,1364,0,1215,0
